review,sentiment
"It's rare that I come across a film this awful, this annoying and this irritating. It is without doubt one of the worst films I've ever seen.<br /><br />The plot, when it's not a blur of confusing and pointlessly over flashy editing, is ludicrous. Why did Domino become such a bad-ass tough bitch? Because her gold fish died when she was a kid and this ""traumatic"" event left her emotionally stunted, and hating everyone. When the dialogue is not clichéd or banal, it's littered with laughable lines such as: ""There are three kinds of people in this world: the rich... the poor... and everyone else"". At one point the bounty hunters have some guy tied up in the back of their bus who has a combination number tattooed on his arm. Because of a confusing mobile phone call, instead of rolling his sleeve up and just reading the number, they blow off his arm with a shotgun. At another point, the bounty hunters take a bomb to a meeting arranged with the mafia and threaten to set the bomb off unless the mafia let them go!? Clearly not going to the meeting would have been just too easy.<br /><br />Keira Knightley is unconvincing and dreadfully miscast. Mickey Rourke does manage to salvage some credibility from this mess.<br /><br />I have enjoyed some of Tony Scott's previous films, True Romance being one, but all I could think while suffering this drivel was that it must have been made by a complete idiot.",negative
"""Cat In The Brain"" is a series of extremely violent sequences knitted together by a plot that feels more like an overview, describing director Lucio Fulci's most notorious years of film-making. The movie could also be seen as a dark comedy of sorts, effectively spoofing the various claims that violent cinema causes violence in real life. Fulci goes further than that, he casts himself as the star, the central figure of the film thus showing the audience who is the man behind all the cinematic gore. ""Cat in The Brain"" is not about presenting a clear story and following it. Instead it pokes fun at some of the clichés that have been surrounding the horror genre for years.<br /><br />Lucio Fulci plays himself as a horror director struggling to keep his humanity intact. Years of violent film making have finally began to reach him. It starts slowly, steaks and meat in general begin to disgust him, his colleagues assure Fulci that all he needs is some rest. But that doesn't help and soon the grotesque ideas for his movies begin to overwhelm his daily thoughts. In an attempt to find a cure for his dangerously maddening mental state Lucio starts going to the local psychiatrist. Unfortunately that does more wrong than good and Fulci is thrown into an even bigger mess, as the psychiatrist turns out to be a psychopath, who mimics the murders from Fulci's films in real life.<br /><br />The film retains all the trademarks of Italian splatter cinema, good or bad they are all here. So any comments about the acting or the technical aspects and budget constrains are quite irrelevant as to the quality of the film. It is a visual experience, no doubts about it. Fulci throws in an incredible amount of violence easily surpassing pretty much everything he's made. Amputated by chainsaw limbs, cannibalism, child murder, decapitation, these are just some of the many grotesque acts witnessed in ""Cat In The Brain"". Some of them are obviously recycled from a few the director's less profile movies but they don't stand out of the context, and actually feel quite at home here. As I noted before the movie exists much better as a satire of the genre rather than a serious piece. The way some of the violence is presented does help establish that idea. Such sequences shortly after climax are rejected by the reality in the film, as they are revealed to be actually scenes inside a movie that Fulci's character is directing. This sort of ""film in film"" presentation lessens somewhat the impact of the gore. But in no way does it make it an easy to watch film. Oh no this is far beyond and above the levels of gore found in mainstream horror, and gorehounds will in no doubt be satisfied with that fact.<br /><br />Lucio Fulci was a very polarized figure. People either hate his work or love it. ""Cat in the Brain"" won't convince any of Fulci's detractors in the opposite but it is nevertheless an interesting part of his filmography. One that fans should really check out.",positive
"Jack, Sawyer and Sayid swim to the boat and find a completely wasted Desmond. His traumatic past experience before sailing to the island is disclosed through flashbacks. Sayid plots a plan with Jack to surprise ""The Others"" in case Michael is double-crossing the group. John Locke convinces Desmond to invade the hatch, which is protected by Mr. Eko, and not press the button of the computer to see what will happen.<br /><br />This episode is one of the best of the Second Season. Unfortunately, we lovers of ""Lost"" can see the lack of respect the producers of this stunning series have with the fans. In the USA, the air date of this episode was 24 May 2006. Therefore, along this period, fans have to wait for the Third Season in a very suspenseful situation, with Jack and his group surrounded by ""The Others"" and finding the truth about Michael and the death of Ana Lucia and Libby; John locked inside the hatch without the intention of pushing the button and Mr. Eko in despair outside the hatch. I hope the fate of ""Lost"" be better than ""Angel"" and its very disappointing conclusion (or lack of conclusion) after five seasons. My vote is ten.<br /><br />Title (Brazil): Not Available",positive
"Ladies and gentlemen: the show begins with this documentary film. It's structured in three chapters, each one chronologically arranged. The first presents the classical physics and links to Einstein. The second studies in depth the quantum physics and enters in String theory. The last reveals the Everything theory... The difficult concepts used here are introduced in a very simple way, with daily objects; although you must believe them without checking by yourself -if you are not a scientist- (and even if you are a scientist!!). The film is not a masterpiece by its fabulous technique or the way it's produced; what really imports is the story, and WHAT A STORY!!!",positive
"I thought this had the right blend of character, plot, futuristic stuff and special effects without going over board. It will take a while to get going, but the acting was good and I was intrigued by the angel who is not to hard to look at. I like the attitude too! Certainly not like other attempts at futuristic stories.",positive
"I may not have the longest of attention-spans, but this is the second movie I have refused to see all the way through, and I even bought it on DVD because of its ""classic"" status. <br /><br />At first, I thought that the director was playing a big joke, so I kept waiting for a resolution, something to laugh at, something to keep my interest, but this resolution never came. Rather, the writing was laughably amateurish, the movie dragged on and felt disjointed, like someone cut a TV series to feature-length. The Academy must have been on drugs when they nominated this movie for no less than eight Oscars.<br /><br />Once again, I repeat myself. This is the second movie I have refused to watch all the way through. The first was ""Exterminator"". I hope this gives you an indication of how bad it really is. 1/10",negative
"Yes it's a Fast Times wannabe, but it's still decent entertainment.<br /><br />Some of the comedy parts are really funny. The scene when the three guys visit the Spanish lady is hilarious, with a little flamenco music in the background. The reaction when her sailor husband comes home is a riot. The guys' exploits in dealing with crabs are funny as well when they try to ""drown them"" and when they visit the pharmacist. <br /><br />The abortion scene is a Fast Times ripoff too, but it does do a good job of capturing the terror of the situation. You really feel for what Karen is going through, and for Gary in his mad scramble for cash to pay for the abortion and accommodating her recovery.<br /><br />The ending is painful to watch, but refreshingly realistic. First-time viewers will not be prepared for it and it will be a shock.<br /><br />There is a decent eye-candy for guys with young girls and the milf Spanish lady, but heterosexual guys will probably want to skip the penis-measuring competition. <br /><br />Underrated soundtrack too. Check out early, early U2(!), The Cars in their prime and an appropriate tearjerker song by James Ingram for the surprise ending.<br /><br />Some people will hate it and it is somewhat dated, but those who like teen flicks or grew up in the early 80s should like it.",positive
"The US appear to run the UK police who all run around armed to the teeth and did you know that CID officers change into uniform when they stop work and go down the pub! This has got to be one of the most unrealistic films with the worst portrayal of ""real"" UK police that has ever been foisted on the unsuspecting public. I can see that Mr Snipes might have needed the money to pay his back tax bill but what the heck a good actor like Charles Dance was doing in it is a mystery.<br /><br />Worse than the worse low budget ""B"" film of the 50's. An hour and a half of suicide and time I will never get back.<br /><br />Avoid it like the veritable plague.",negative
"I found the pace to be glacial and the original story blown way out of proportion to the content. My wife slept through most of it and I did not try to wake her because I felt she was not missing anything.<br /><br />When Holmes and Watson enter the house and then are potentially caught, it is unclear how they could hide all of their entry and burglary tools so quickly. It is also unclear how the door to the study is locked, preventing the servants from getting in.<br /><br />The thing that puzzled me was right at the end when there was a glint in the eye of the broken statute. I have no clue what this was supposed to represent.",negative
"I and my brother are very big Asian movie fans, so when finding this movie hidden in a shop, I bought this one on DVD, because it sounded very promising and I couldn't wait to watch it. So I watched this movie with my brother and I must say, in the beginning it was very promising. Both of us really loved this brutal ball scene in the first scene. But i guess that was all. There are some interesting fights, but it is not a action movie, as it claims to be. Instead it's a love movie... with the cliché of love so extremely played over the top, even Shakespeare would vomit on this title. Sorry for my language. By the way: The characters act like being picked up from the street and given 100 for playing in this movie.<br /><br />Well, I and my brother watched it to the end, because we thought, it can only become better. But, heck, it never did. This movie challenged place #1 on my and my brothers ""worst movies ever seen""-list, only followed by ""Fantasy mission force"" - do not watch this either.",negative
"Let me say this about Edward D. Wood Jr. He had a passion for his work that I wish more people did have. If we all had the optimism and the commanding hope of Ed Wood, the world would probably be a much better place. Being familiar with Ed Wood's story and having seen the most wonderful biopic ""Ed Wood"" (1994) several times, I admire his boldness and his strives for the job he loved; I still admire his never-say-die attitude. He had a love for directing that I wish more people in modern-day Hollywood had.<br /><br />But that doesn't make his movies any more fun to watch. And ""Glen or Glenda,"" his first and most confessional film, is probably his very worst.<br /><br />""Glen or Glenda"" is a deadening cult movie about a cross-dresser named Glen (played by director/writer Ed Wood himself) who despite his love for his fiancée Barbara (Dolores Fuller), cannot seem to conquer his lust for transvestitism, in which he dresses in women's clothing and a wig and thus becomes...Glenda! Glen/Glenda's story is narrated by a doctor and he too is talked and watched over by a mysterious character called ""The Scientist"" played by veteran horror star Bela Lugosi. Oh, and there's also some sub-story about an Alan/Anne character who becomes a transsexual based on the Christine Jorgenson story, upon whom this movie originally titled ""I Changed My Sex!"" was previously to be based.<br /><br />Have I dropped your jaw yet? Well, as much as I want to warn you off this picture if you've never seen it, I would never tell a lie about a movie and there is not one word of falsehood in that plot synopsis I just gave you. Every thing in it is true. This is a movie about cross-dressers and transsexuals, a topic that does not sound very appealing to begin with and is not done in a very appealing manner. I'm sure that with a good screenplay, and a good director (it had neither) that ""Glen or Glenda,"" despite the subject matter, could have been a very moving picture. It is a confessional movie on Wood's part, as he was a transvestite in real life as well as on screen. But once again, that does not make it a good movie...or a watchable one for that matter. ""Glen or Glenda"" is a jumbled, disorganized mess of a movie that sinks into new trenches in the realm of bad cinema. It makes no more sense than does its notoriously silly scene where Bela Lugosi screams ""Pull the string!"" over inexplicable footage of stampeding bison. The majority of the movie is narrated in a monotonous voice, reminding me of some very bad short informative films I've seen before. It's like one of those really bad short films expanded into a seventy-minute feature and twice as dull. We sit there for ages waiting for the plot that never comes. There is no real attempt to even build energy with the camera being locked down in one position for many grueling minutes and long stretches of time where nothing at all happens. The only moments that are worth anybody's time are those of Bela Lugosi who manages to bring some light into these dark trenches. I guess Lugosi is supposed to be like the deity of the film, but personally, I couldn't care less who or what he's supposed to be. I'll tell you what he was: A gifted actor who wound up making trash. But he and Wood were very good friends and liked working with each other, so good for him.<br /><br />I will always admire Edward D. Wood Jr. for his passion for the cinema, but I will never as long as I live admire his movies. A film critic once called Ed Wood's movies ""innocent fun"" but I think even that is questionable. Innocent? Yes. Fun? No, sir. And if ""Citizen Kane"" is the Mount Everest of the cinematic world, then ""Glen or Glenda"" is probably the Mariana Trench.",negative
